,규모,면적,신축년도,용도지역,주소
364,지상2/지하0,"3,886㎡",1987년 01월 23일,3종일주,광주광역시 북구 두암동 598-3
365,지상2/지하0,"5,195.6㎡",1984년 02월 20일,3종일주,광주광역시 북구 두암동 579-1
366,지상2/지하0,"4,965㎡",2000년 02월 21일,2종일주,광주광역시 북구 두암동 329
367,지상13/지하1,"4,171㎡",1988년 05월 20일,3종일주,광주광역시 북구 두암동 326
368,지상12/지하1,"14,973.3㎡",1988년 05월 24일,2종일주,광주광역시 북구 두암동 947-1
369,지상15/지하1,"13,124㎡",1998년 02월 19일,3종일주,광주광역시 북구 양산동 101
370,지상2/지하1,"11,146㎡",1995년 03월 23일,3종일주,광주광역시 북구 삼각동 753-10
371,지상15/지하1,264㎡,1996년 10월 10일,3종일주,광주광역시 북구 양산동 274-3
372,지상20/지하1,"8,275㎡",1997년 01월 20일,3종일주,광주광역시 북구 양산동 355
373,지상11/지하1,"1,411㎡",1995년 12월 20일,3종일주,광주광역시 광산구 신촌동 827-1
374,지상1/지하0,"5,867㎡",2009년 08월 20일,2종일주,광주광역시 광산구 송정동 965-1
375,지상17/지하1,"4,022㎡",1992년 12월 28일,3종일주,광주광역시 북구 오치동 869-6
376,지상15/지하1,"4,037㎡",1997년 10월 25일,3종일주,광주광역시 북구 양산동 288-15
377,지상12/지하1,"4,589㎡",1995년 04월 13일,2종일주,광주광역시 북구 매곡동 215-2
378,지상20/지하1,"6,548㎡",1995년 04월 22일,3종일주,광주광역시 북구 매곡동 214-10
379,지상13/지하1,"10,498㎡",1995년 07월 24일,2종일주,광주광역시 광산구 도산동 1136-1
380,지상10/지하1,"3,526㎡",1998년 03월 21일,2종일주,광주광역시 광산구 도산동 782
381,지상15/지하1,"34,666.6㎡",1992년 10월 10일,3종일주,광주광역시 북구 오치동 1005
382,지상15/지하1,36㎡,1995년 12월 19일,3종일주,광주광역시 북구 오치동 881-26
383,지상18/지하1,"8,255㎡",1992년 06월 11일,3종일주,광주광역시 북구 오치동 862-1
384,지상2/지하1,"16,247㎡",1991년 10월 07일,3종일주,광주광역시 북구 오치동 862-14
